"AcousticSite","Year","ALL","EPTFUS_count","LASBOR_count","LASCIN_count","LASNOC_count","MYOLUC_count","MYOSEP_count","PERSUB_count","MYOLEI_count","MYOSOD_count","NYCHUM_count","CORRAF_count","ANTPAL_count","LASINT_count","TADBRA_count","Lat","Long","dist_to_water","water_size","num_nights","num_detectable_species"
"HWKRDG",2014,47369,1236,5723,1736,5770,30083,122,0,0,0,0,0,0,0,0,46.832618,-92.018976,43.8426960206474,36994.49,192,6
"NPS-GP",2014,23854,420,0,383,1732,19888,67,0,0,0,0,0,0,0,0,47.958833,-89.687913,4.28952079098549,81837.1,125,5
"USFS-TFTE",2014,6232,179,0,465,1334,3774,48,0,0,0,0,0,0,0,0,47.569729,-90.850878,503.951988872861,36994.49,170,5
"RadarS14A_Batman-13mi1",2014,22,0,2,1,8,4,0,0,0,0,0,0,0,0,0,44.434463,-86.225932,1764.90132786601,56693.27,11,6
"RadarS14A_Batman-13mi2",2014,52,1,1,8,9,2,0,0,0,0,0,0,0,0,0,44.434935,-86.228687,1551.22583890749,56693.27,16,6
"RadarS14A_Robin-Pumpjack1",2014,143,13,2,32,20,12,0,0,0,0,0,0,0,0,0,44.424964,-85.932072,123.237899949881,6.34,15,6
"FS-GUFT",2014,6874,202,673,1310,2242,1903,8,66,0,0,0,0,0,0,0,47.74726,-90.364377,448.441331641178,81837.1,191,7
"RadarS14A_Robin-Pumpjack2",2014,52,5,2,11,18,3,0,0,0,0,0,0,0,0,0,44.418428,-85.930833,353.647952650698,6.34,9,6
"RadarS14B_Batman-Ferry1",2014,160,7,23,43,65,15,0,0,0,0,0,0,0,0,0,43.58895,-86.2244,1280.11231318701,0.03,13,6
"RadarS14B_Batman-Ferry2",2014,96,5,10,27,32,4,0,0,0,0,0,0,0,0,0,43.58704,-86.22504,1427.56845496083,0.03,13,6
"RadarS14B_Robin-Shelby1",2014,426,4,36,47,259,40,1,0,0,0,0,0,0,0,0,43.616366,-86.523152,1157.05499735928,52823.5,13,6
"RadarS14B_Robin-Shelby2",2014,173,2,17,25,91,3,0,0,0,0,0,0,0,0,0,43.614144,-86.519699,1360.42727213239,52823.5,13,6
"RadarS14C_Batman-Blueberry1",2014,503,48,86,74,257,16,0,0,0,0,0,0,0,0,0,42.93617,-86.20337,1212.24976133376,52823.5,11,6
"RadarS14C_Batman-Blueberry2",2014,343,47,24,48,160,35,4,0,0,0,0,0,0,0,0,42.93915,-86.20273,1285.66587883279,56693.27,11,6
"RadarS14C_Robin-Brower1",2014,800,34,25,426,271,2,0,0,0,0,0,0,0,0,0,42.8902,-85.92686,2873.19591583576,0.03,11,6
"RadarS14C_Robin-Brower2",2014,1793,8,12,603,49,3,0,0,0,0,0,0,0,0,0,42.88772,-85.92897,3032.97208911328,0.03,11,6
"RadarS14D_Batman-Freesoil1",2014,3805,621,231,1115,1495,194,2,0,0,0,0,0,0,0,0,44.105579,-86.132339,1882.31632299087,0.07,22,6
"RadarS14D_Batman-Freesoil2",2014,2978,502,98,1240,828,56,1,0,0,0,0,0,0,0,0,44.106615,-86.135749,1824.58541215782,0.07,22,6
"RadarS14D_Robin-WoodenCross1",2014,1607,15,93,373,962,45,0,0,0,0,0,0,0,0,0,44.173207,-86.374102,1316.97146574409,52823.5,22,6
"RadarS14D_Robin-WoodenCross2",2014,929,11,32,158,350,66,0,0,0,0,0,0,0,0,0,44.174736,-86.371399,1450.93870206648,56693.27,15,6
"AUDO",2014,6116,89,984,52,482,3393,79,348,0,0,0,0,0,0,0,47.462283,-88.076383,592.4026150804,81837.1,79,7
"CEME",2014,4106,129,355,47,999,2160,65,135,0,0,0,0,0,0,0,47.07885,-88.654,3226.22292490743,0.05,74,7
"MARJ",2014,4114,44,455,34,107,3032,80,0,0,0,0,0,0,0,0,47.273567,-88.475267,1277.10336605828,0.72,76,6
